maxColorValue;uniqueColorCount;withSameNodes;withoutSameNodes
13;14;323;127
13;14;322;128
13;14;321;129
13;14;320;130
13;14;320;130
14;15;319;131
14;15;319;131
14;15;319;131
14;15;319;131
14;15;319;131
14;15;319;131
14;15;318;132
14;15;317;133
14;15;316;134
14;15;315;135
14;15;314;136
14;15;313;137
14;15;312;138
14;15;312;138
14;15;311;139
14;15;310;140
14;15;310;140
14;15;309;141
14;15;308;142
14;15;308;142
14;15;308;142
14;15;307;143
14;15;306;144
14;15;306;144
14;15;306;144
14;15;306;144
14;15;306;144
14;15;305;145
14;15;304;146
14;15;303;147
14;15;303;147
14;15;303;147
14;15;303;147
14;15;303;147
14;15;302;148
14;15;302;148
14;15;302;148
14;15;302;148
14;15;301;149
14;15;301;149
14;15;300;150
14;15;299;151
14;15;298;152
14;15;297;153
14;15;296;154
14;15;296;154
14;15;295;155
14;15;295;155
14;15;294;156
14;15;294;156
14;15;293;157
14;15;293;157
14;15;292;158
14;15;292;158
14;15;291;159
14;15;291;159
14;15;290;160
14;15;289;161
14;15;288;162
14;15;288;162
14;15;288;162
14;15;288;162
14;15;287;163
14;15;286;164
14;15;285;165
14;15;284;166
14;15;284;166
14;15;283;167
14;15;282;168
14;15;281;169
14;15;280;170
14;15;279;171
15;16;278;172
15;16;278;172
15;16;277;173
15;16;276;174
15;16;275;175
15;16;274;176
15;16;273;177
15;16;273;177
15;16;272;178
15;16;272;178
15;16;271;179
15;16;270;180
15;16;270;180
15;16;269;181
15;16;269;181
15;16;269;181
15;16;268;182
15;16;268;182
15;16;267;183
15;16;266;184
15;16;265;185
15;16;264;186
15;16;263;187
15;16;263;187
15;16;263;187
15;16;263;187
15;16;262;188
15;16;261;189
16;17;260;190
16;17;260;190
16;17;259;191
16;17;258;192
16;17;258;192
16;17;257;193
16;17;256;194
16;17;256;194
16;17;255;195
16;17;255;195
16;17;255;195
16;17;254;196
16;17;253;197
16;17;252;198
16;17;251;199
16;17;250;200
16;17;250;200
16;17;250;200
16;17;250;200
16;17;249;201
16;17;248;202
16;17;248;202
16;17;247;203
16;17;246;204
16;17;246;204
16;17;246;204
16;17;245;205
16;17;244;206
16;17;244;206
16;17;244;206
16;17;244;206
16;17;244;206
16;17;243;207
16;17;243;207
16;17;243;207
16;17;242;208
17;18;241;209
17;18;240;210
17;18;240;210
17;18;240;210
17;18;240;210
17;18;239;211
17;18;238;212
17;18;238;212
17;18;238;212
17;18;238;212
17;18;237;213
17;18;237;213
17;18;236;214
17;18;235;215
17;18;235;215
17;18;235;215
17;18;234;216
17;18;233;217
17;18;233;217
17;18;233;217
17;18;232;218
17;18;232;218
17;18;232;218
17;18;232;218
17;18;231;219
17;18;230;220
17;18;230;220
17;18;229;221
17;18;228;222
17;18;227;223
17;18;226;224
17;18;226;224
17;18;226;224
17;18;225;225
17;18;224;226
17;18;223;227
17;18;223;227
17;18;223;227
17;18;223;227
17;18;223;227
17;18;222;228
17;18;222;228
17;18;222;228
17;18;222;228
17;18;222;228
17;18;221;229
17;18;220;230
17;18;220;230
17;18;220;230
17;18;220;230
17;18;220;230
17;18;219;231
17;18;218;232
17;18;218;232
17;18;218;232
17;18;218;232
18;19;217;233
18;19;216;234
18;19;216;234
18;19;216;234
18;19;216;234
18;19;216;234
18;19;215;235
18;19;215;235
18;19;214;236
18;19;214;236
18;19;213;237
18;19;213;237
18;19;212;238
18;19;211;239
18;19;210;240
18;19;209;241
18;19;209;241
19;20;208;242
19;20;207;243
19;20;206;244
19;20;205;245
19;20;204;246
19;20;204;246
19;20;204;246
19;20;204;246
19;20;204;246
19;20;203;247
19;20;203;247
19;20;202;248
19;20;201;249
19;20;201;249
19;20;200;250
19;20;199;251
19;20;199;251
19;20;199;251
19;20;198;252
19;20;198;252
19;20;197;253
20;21;196;254
20;21;196;254
20;21;196;254
20;21;196;254
20;21;195;255
20;21;194;256
20;21;194;256
20;21;194;256
20;21;194;256
20;21;193;257
20;21;192;258
20;21;191;259
20;21;191;259
20;21;190;260
20;21;190;260
20;21;189;261
20;21;189;261
21;22;188;262
21;22;188;262
21;22;187;263
21;22;186;264
21;22;185;265
21;22;184;266
21;22;184;266
21;22;183;267
21;22;182;268
21;22;182;268
21;22;181;269
